RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024
102001,0,United States,country,,1279.843496781243,1286.3421348360025,1295.068146875292,1305.4550042941185,1315.1959846840623,1324.0859410144496,1330.114398356662,1333.5211575250325,1334.8128104744555,1334.8074736201122,1335.3458997339915,1336.7580219523752,1340.9232073697228,1346.4374398442644,1353.2703925472936,1361.9359179227495,1371.0677361575283,1379.288338915796,1383.9531772212615,1385.6796796235728,1384.8264961431446,1383.0579557637523,1381.8874815977524,1382.0349368816692,1387.9661760356194,1397.9292426612508,1411.3820875817614,1423.2069274015782,1433.6071617093369,1441.5310934443016,1446.5221793493818,1448.0580306178972,1449.2944797858963,1448.808621097596,1449.9039795618764,1451.3006409318207,1456.4755575827032,1464.4872143594687,1475.7187765468009,1486.9216562313484,1496.4550097204615,1503.9232998061684,1508.6753752887014,1511.1187521232882,1511.199309332752,1511.5059351417367,1513.683585783409,1516.905255546622,1521.9909212308487,1529.5168736924336,1541.3218585222162,1553.181974781624,1563.9186047574663,1571.4929042553472,1576.3969471450357,1578.646974885918,1579.1063266470164,1579.479630591096,1580.5862837180002,1582.4967197057063,1588.502345378437,1597.473518573652,1607.6873961011306,1613.4034975631262,1619.8818202543437,1628.5678606463086,1642.186556565129,1654.4410069865512,1665.2722033275447,1673.9112502684932,1680.967982559807,1688.760406,1700.2220458461265,1715.122222883544,1732.6566456913267,1752.4576188161557,1776.4623916821954,1801.4974291519036,1825.4210198703586,1847.7646072793177,1866.4406371826049,1881.454989038424,1893.024901760402,1905.0138089664806,1919.2912439161018,1937.971459178866,1958.2630799663982,1980.448942492968,1999.3899789051109,2018.7907031897623,2034.0391711691002,2046.618319013627,2052.1770779597714,2055.8945323338667,2055.4400488362817,2059.4376663803046,2064.3687221645064,2074.390676067747,2087.2231498457763,2102.181363876005,2115.8678284341827,2126.531342091061,2136.4528715207202,2145.686215752679,2151.676055,2153.487378399082,2153.950322017163,2156.5157168388478,2165.2551023419187,2176.702706722363,2192.185867588188,2205.128069949604,2217.619449262694,2226.8288188937363,2235.530797,2241.6911222171125,2244.9787819174467
394913,1,"New York, NY",msa,NY,2152.564086042365,2175.3193028006945,2191.323413107848,2206.4254152977583,2209.0076957671154,2225.018977813518,2229.5976651495034,2229.5705435508285,2226.9647723967664,2228.928267747077,2232.0726786006267,2239.295278043895,2246.099881007984,2257.463060108534,2266.8768285355136,2279.574361795453,2289.6480918033417,2292.943112,2296.7801781040753,2290.7241452510657,2289.2607857954363,2287.3231707127347,2303.6789981446204,2310.6595127014225,2328.212139483141,2339.6121338162307,2355.367758631907,2364.7256830520223,2376.5860653219333,2382.6803716966433,2388.4511328254075,2383.5249213437073,2410.432350111953,2418.5387565940305,2414.516554297321,2392.3017877588336,2393.791032145385,2407.284397541451,2416.645759,2428.673658934963,2442.585530195649,2454.736128373787,2460.2168113678827,2470.224946509744,2471.338013753177,2466.584371256225,2464.0937916115868,2462.2563759996483,2465.915709281717,2480.912847807297,2509.3096542813364,2529.8428390515674,2542.210156992279,2548.115994210634,2549.510725263803,2539.7280600666727,2522.178011147032,2532.4176980660013,2538.656740963799,2562.526544898251,2563.919375106278,2577.6864238278117,2590.707908999238,2611.3735345417494,2626.966017283117,2638.0542449813884,2648.427237460466,2658.1959485754423,2666.1424741079504,2653.472868252441,2674.8155315638573,2675.789412348883,2714.8126724741696,2732.968071724659,2779.574489542723,2814.6880779428825,2833.464095333062,2853.063653620158,2865.9861497909856,2885.8099599491416,2883.979757262506,2898.065029907467,2890.2345557680223,2921.030820402962,2951.8611710451487,3018.4673494347717,3055.6925538969813,3087.6273907076616,3101.083519172493,3123.1779073007256,3150.9965974637375,3171.2279787524476,3177.2191173435745,3166.9074367653616,3162.983189776173,3160.572305860307,3165.0819163836445,3197.035903,3255.3239293829224,3311.6985353252694,3335.547257656946,3336.376664263063,3335.403475553976,3341.1056173563043,3336.305660227054,3312.443575323007,3294.2579253806352,3312.085614443103,3358.0048871550366,3392.915760981148,3438.6111389227426,3447.8132942738316,3472.586823670214,3479.900976,3501.5551398255548,3512.507655538551,3486.5712683424995
753899,2,"Los Angeles, CA",msa,CA,2566.861236071384,2580.523857330295,2599.691425129716,2610.499619662968,2635.776064092547,2655.683501828258,2678.4780010144277,2689.0315842259747,2698.357163831822,2700.8776523707365,2695.5662429162576,2699.378344520222,2713.0209992034074,2735.8804779589286,2757.536236723052,2772.7021880387897,2801.359228,2818.211017352678,2831.8395556703053,2830.354620055932,2830.1306482328937,2826.1176622263365,2820.5458106063124,2819.4624871164574,2839.1727071951195,2863.726704057095,2898.405005731653,2923.7912059363653,2948.850776,2958.222487571658,2967.931335174391,2966.7995252970945,2975.581309804021,2971.8796872394514,2983.6288418105464,2983.057743785272,2998.714631988401,3011.566524,3036.1223403627846,3057.4148482746436,3073.972831189285,3088.662446199514,3097.279687816264,3099.748139,3102.8953427691013,3105.990498009016,3122.8719294843763,3129.1861532529306,3142.7615113088195,3145.1476076310414,3172.656882,3185.9252895115696,3213.5115335652704,3219.482998834292,3230.4749752682965,3225.672448977093,3225.2804815054483,3225.187712398073,3230.955846,3238.8380481645595,3253.122731335281,3267.690898777305,3274.382766604993,3263.938724697192,3264.2913565870304,3278.251619565101,3312.051732,3324.316912585337,3337.2111735877365,3345.2268713557737,3369.873040364562,3381.002561360167,3405.689103081781,3426.002627062272,3464.6856230503076,3484.5100892200035,3514.650488417704,3542.3612581192865,3577.702379488045,3622.8210580041705,3662.233634370837,3690.2958015725953,3712.4381882059083,3737.1844241412896,3777.2786237580576,3821.790363604973,3869.376910223453,3912.2039214538418,3946.194422283086,3975.0927517843274,3998.248974497255,4009.9400532246445,4014.767038862378,4023.7399563532854,4031.5102744454084,4035.960981575844,4040.916659453251,4046.4063922942614,4070.281040736612,4102.242500007412,4126.275992346457,4157.752281243241,4175.278193,4203.203042900196,4194.802223289576,4189.096760911554,4188.579856584306,4201.4775714882135,4228.901095124765,4243.189322177109,4263.634525,4280.034167449805,4302.760270850399,4321.614016062734,4338.824403853201,4343.742258639891,4347.8915030107155
394463,3,"Chicago, IL",msa,IL,1547.520227764679,1553.095732253019,1563.5378878951094,1576.1651193980479,1590.0745066703153,1599.353009154503,1599.937838585311,1599.6046355966503,1595.0982493095596,1586.8444423437438,1583.1432211197412,1586.8262636016018,1593.7897876923296,1601.2718400967194,1611.4362595579723,1621.138689513697,1628.4356242515014,1633.6074045442267,1639.921062952527,1645.6558696158327,1639.423102880753,1631.4224960016359,1621.1163291212597,1615.2225996855382,1622.9655977348873,1633.3903418633095,1651.5950903959754,1665.2655893660044,1679.5786461672126,1685.208216570789,1686.5398362757423,1683.1741401831923,1679.424006507396,1669.2982551049963,1665.1996151481208,1661.929849136094,1668.6644109754366,1677.2310075652795,1691.8132425474873,1706.7204869467112,1714.9777716919373,1721.690861235657,1723.3552954849908,1724.4471217656453,1722.6525938259376,1717.0125629347297,1712.712764384178,1707.8606609362519,1716.0370313483133,1720.831828780252,1735.5731006740884,1744.440933,1759.1209121496336,1768.2163502000162,1772.9524689368366,1772.1926484153007,1769.4132992507002,1765.4429569616616,1761.6093435151472,1758.157359349357,1761.235786001661,1771.4387540161922,1784.712746866175,1792.2987203443158,1797.838740728274,1804.0564117703223,1811.9883982099648,1819.844827001849,1817.148585296463,1813.2834696144978,1809.0521451987129,1815.4229651049836,1826.8818087566642,1843.6145263696023,1857.7085096984395,1875.3746490489868,1894.174197929405,1918.1727664171005,1937.1273458291162,1952.9738269784714,1967.2176989748066,1977.460720500685,1984.3732658345828,1992.0418722802306,2000.2663375990217,2009.9564785011169,2029.8093753141068,2053.444004028386,2080.5014858639283,2098.570891825241,2116.1814794502657,2130.3120139501552,2133.302518908273,2136.869868,2130.6313615763574,2143.1405299571234,2151.155908965792,2167.171462013933,2175.8495872027092,2196.356675523632,2218.359518363834,2239.903557773564,2254.1418513789476,2268.6874081719493,2278.699955404435,2282.249060650219,2282.488366557987,2292.8009479778325,2301.455946887451,2315.551067193836,2326.6192221678534,2355.598281,2376.799467658379,2391.9761299747315,2401.4974740942193,2413.129952930043,2419.239132833418
394514,4,"Dallas, TX",msa,TX,1381.938404741208,1390.3185698666846,1400.335385138856,1414.9198145458615,1427.877330771247,1438.6406122462279,1447.0195970991124,1450.805156421094,1451.5403402980437,1450.9190559534418,1450.6493827380452,1452.4214634090563,1455.098872904842,1464.0072018240523,1475.2746427023596,1488.2082441602736,1499.4725412035202,1508.4745724888362,1514.8244354007977,1517.5591973768064,1517.7662648484693,1514.8197994370153,1512.2134147344811,1511.1662800457188,1519.5808195083716,1529.5111815139087,1544.7235362750753,1557.1472245951932,1570.7364550724287,1578.186469633575,1583.6149164302847,1585.9314036685764,1586.0435368991084,1585.1166535741945,1585.0100649669525,1588.9869327528509,1593.9879714024225,1601.6535035571771,1608.4324494888676,1620.7593384767333,1628.6463788314352,1638.8569729705243,1639.601918610854,1642.6306414060632,1642.883887141222,1643.4763417399154,1641.8845272483989,1643.6505529356134,1649.545892493527,1657.6933449279686,1668.2957104979416,1679.4795206364204,1692.2272533227924,1697.5083783967286,1699.7209791633063,1699.9076601751365,1699.7540155051838,1701.2410309499796,1702.3061623590277,1700.6484526353258,1704.5850989605942,1711.0101500607489,1723.373098995339,1726.7964741695685,1732.609656445765,1741.0790421294612,1753.7085267285113,1764.5124171385849,1773.0235166102163,1784.9485118137447,1793.7458562399772,1804.4436884752602,1817.7421429391077,1831.7467524950782,1850.9170162454805,1870.8037469558342,1901.312916464617,1930.2787281160831,1959.5905543276474,1984.9606655063537,2008.3878380082137,2029.521448951761,2042.182486510023,2050.995107163291,2061.0463141027726,2078.870844050834,2100.1765716067903,2124.719046060966,2148.823276521763,2175.325796975588,2193.1824567121043,2204.1840539962736,2208.789076559717,2214.2278889226354,2219.8986282520023,2223.7684699383444,2225.622680635695,2229.33423,2239.3767476378407,2250.0909849501454,2264.7828519629293,2278.664674116684,2290.410342780198,2295.7874813709523,2294.326838,2286.6642483783894,2291.309854205606,2291.879243530117,2301.8995851821987,2305.655409,2324.1532407458703,2337.583868738643,2344.459205884187,2348.2580478112372,2352.3613127347016,2355.671734848607,2354.2786496580966
394692,5,"Houston, TX",msa,TX,1513.6136977473493,1518.9542394849057,1526.9180385322477,1538.1580288194093,1549.7429160830407,1560.4054565603367,1563.1044238351324,1563.319144334897,1558.6063490172055,1555.137821881102,1551.406050930318,1546.8578150363019,1548.0812152308788,1548.4555362631163,1554.2120400182666,1555.9912623494693,1560.1204167585358,1564.2357583737357,1564.669977011566,1562.5104911551077,1554.7765696504075,1547.606192919954,1539.061301269283,1534.393510883581,1537.4775623275364,1548.031828470999,1559.998943727305,1569.0452652566048,1576.2506846217686,1581.2829849155023,1582.5432641095672,1581.325098475031,1587.970855370801,1594.9235281736928,1600.492780491728,1599.488862716567,1604.0799659734193,1609.7672009419439,1615.6157622144972,1619.646434510587,1625.8273042584863,1633.5955832090817,1633.5136254047122,1633.0386911874068,1629.5053306183331,1627.9646879552176,1623.9533810959138,1622.512939915895,1625.086421176119,1631.9585275647269,1641.9164924357035,1653.5266452689903,1664.0433946322917,1670.2142433702056,1671.5038807165715,1668.9166169903272,1667.245950561981,1666.5885843437186,1666.4045495637604,1666.2957509570524,1669.8508529836001,1676.0896376373437,1684.0631702395056,1685.443959,1689.4833140842074,1692.4295504608292,1703.3826889577795,1713.8882417698353,1723.4780760305068,1730.1229246154287,1733.1206233947994,1739.850703459826,1753.264009716078,1768.3047489229539,1782.828271705429,1795.8958189896853,1817.0325692724048,1838.0209918894739,1849.9930608933798,1863.2313609934422,1873.2785457906932,1892.565774657114,1899.0808744643189,1908.880413642468,1917.4951840659685,1932.500463964822,1943.8363582023596,1956.814789514343,1969.3996748982852,1989.3153083938114,2002.4639334452756,2013.5891943439108,2015.5925836661393,2023.3634813632036,2018.8077380976895,2021.0661051644859,2020.0764206534848,2032.9633899180105,2045.275992332195,2055.4014656347526,2067.6347061150445,2079.7426475270827,2095.0928625140245,2101.091245874996,2102.3407117970737,2096.769758706477,2093.6785266869374,2092.923875252847,2098.609467238269,2111.524874939348,2122.2571694380786,2134.223494027391,2141.5858778572997,2151.1495294268925,2157.249599518698,2163.2555555059234,2165.4585166527536
395209,6,"Washington, DC",msa,VA,2114.5991846042984,2130.614983609266,2148.565020937013,2159.966763640595,2168.2234321113333,2177.6460137594627,2181.624511152832,2179.0660550003154,2175.534832448791,2168.348997552677,2167.7626713093146,2163.4888825154167,2170.9674897349464,2178.9805806681507,2189.8505003139508,2198.0831170562687,2210.2323754537047,2219.1245278549254,2226.644697151608,2227.033353854272,2220.352734050635,2213.0663625455268,2204.267026068053,2201.404475959122,2207.462963541154,2222.7650785814753,2243.9607649797604,2258.497832862683,2268.5610923538884,2275.044807125422,2280.397160130751,2277.916030919904,2276.9341949837703,2266.5199376046917,2264.0104445865077,2264.8258954856733,2271.7942618576294,2281.093316453848,2293.580544268283,2310.3280852635266,2322.4893924376706,2330.327526302073,2334.6024148531396,2335.852739106996,2330.4397985777823,2323.363206225478,2324.350395849357,2324.9438338428863,2329.552436685233,2338.5586934777252,2357.6602859222444,2376.905286700651,2389.9312800205525,2398.295533629899,2400.646419226274,2402.6543508499285,2402.4944190837105,2399.4581148967245,2393.9410741912116,2386.4854512489296,2395.170878127207,2405.5787960741513,2426.9898065839375,2436.5672904159087,2448.734942064001,2453.955828390663,2463.805246041617,2472.056825039016,2478.564452786236,2475.712264879488,2473.977962688697,2473.359470312866,2487.857490977381,2497.431298863986,2516.5433025760635,2536.9981457162235,2568.013044632853,2593.1201518913963,2612.8326395677236,2628.071130249645,2639.496410048716,2653.896497492775,2659.715777,2662.958824815332,2668.345385979135,2689.2583804418773,2717.059368985887,2752.215217469753,2775.497832422874,2799.8501559330907,2812.5861872528653,2823.5048929046347,2829.3272578756714,2830.6802388942683,2834.3130673796945,2843.6563896550547,2851.5708459395537,2863.937111992011,2875.8586502768107,2894.3545995618465,2918.4286966649597,2943.137634529091,2967.374002075541,2982.9831857038125,2989.856772244359,2992.567695714666,2999.755076662794,2996.507226174616,2999.8936850153927,3006.266431427508,3035.241426311966,3065.8302131902087,3086.505672900103,3114.591993800686,3131.305310937747,3147.1072440656853,3139.6696169823044
394974,7,"Philadelphia, PA",msa,PA,1349.4248763924998,1358.3288343318775,1369.9498866821004,1378.0576896903356,1382.2075669526694,1384.4668527150784,1387.4615446155674,1389.0107894452672,1390.496932410471,1391.3106991275947,1385.6702307189178,1384.2275290441007,1384.8917856016353,1394.2577562425915,1403.4588123602366,1412.5513209637245,1419.182727665561,1425.743973764595,1427.9046605559977,1428.393302139677,1425.4010245901593,1422.9127641944222,1426.2547963041789,1427.7963630175393,1435.2663537443239,1441.5860204602448,1454.7668069519643,1463.0602291974908,1469.0598323792365,1468.835628534876,1470.9819382970077,1473.5697421684424,1476.3936302842217,1478.0594748150106,1477.7256976399585,1479.9221641826364,1480.6538029579363,1487.7244754448961,1499.9091137777075,1512.8871509405978,1523.6104259088088,1527.019112232041,1525.8228490249785,1523.2930020216936,1525.5904748833057,1531.628264798121,1536.3312248433524,1535.4363950242123,1538.3931159637557,1545.8583676382018,1556.2374769834291,1566.1055052645763,1573.9324646950695,1582.2094988419235,1585.4720441058723,1585.7294661204992,1585.012006013434,1588.501704443956,1590.8842297685674,1596.7844701798529,1599.9911030775859,1609.4524340119474,1616.5474197720248,1621.3202739115857,1625.6950079479748,1631.6198593772351,1644.7159390998556,1652.7429390229374,1664.0603450691087,1668.1770621671585,1677.0283747180467,1683.490526654313,1695.3359160220014,1707.0399001951062,1715.3625211132482,1730.5343692030378,1747.6455903730568,1765.2728523292699,1778.7145810806264,1792.6954398016496,1793.3998839407868,1807.8800243980934,1820.9884906393784,1848.1165606285333,1860.1905046012528,1869.597714,1880.5767017720652,1893.1324578306635,1907.5522871983753,1926.046453988376,1941.4628737956293,1955.1380402234777,1960.7482028774261,1963.4513999121468,1968.9598110065854,1967.4244069737128,1973.3173597987093,1981.9876357243547,1999.480669337755,2011.8834838258206,2018.8945675901218,2027.255674570056,2036.4769237859136,2045.9246444159855,2060.6625924222617,2078.603929567701,2091.6757886332375,2092.052563100502,2097.393942394644,2105.774709673431,2118.140991273641,2123.9518362185618,2132.9364859415446,2139.2888053791644,2145.596956187435,2152.686110066806,2165.6278386277936
394856,8,"Miami, FL",msa,FL,1759.9705169441295,1766.083027740041,1777.2493719693666,1787.3656531478312,1795.4758655729454,1802.5115784492384,1815.3356447444157,1824.1962398325852,1838.5701297380062,1845.4350845211577,1858.4608351208785,1862.0896460850645,1870.4854192781977,1868.3747078274648,1874.5890003340517,1875.366080517968,1885.2272761784636,1885.4694825493089,1891.0888501748718,1893.7358721044727,1901.5145978980156,1905.691936783129,1912.763008609526,1912.786988847702,1918.3335340840392,1926.334841913126,1939.524502585407,1946.091716016057,1948.057097226775,1954.6085298408298,1964.7248023557884,1975.177155673459,1980.8835460718885,1986.5709095553327,1990.0839589271443,1994.3897464922716,1998.470868064476,2006.1264071164915,2014.0524611137412,2023.2994059845323,2028.754608536751,2032.5844237799922,2039.689310559941,2047.7986001736342,2054.797115867763,2060.0311573173335,2067.249292107119,2069.471081616584,2070.599711965516,2073.6800367891847,2086.8292009908264,2095.2165851471423,2101.305294328107,2107.6887161180043,2113.7664046418445,2120.287736443139,2128.327309970763,2141.060710258034,2154.4548160282516,2158.740905,2157.353035145058,2164.511069588517,2167.402862,2171.364500064729,2167.890093178963,2183.340181490866,2203.800418326672,2223.587296,2245.1313810439747,2281.513875,2316.9929285538296,2342.8498030345986,2349.9234413942513,2366.967581815182,2377.9637545875457,2406.5644325709945,2444.5338805242477,2504.6142818835356,2573.6734231255155,2633.005314,2703.5735533309694,2747.438206606117,2820.2692933397984,2869.164127647571,2934.3497465346973,2966.861459475206,3014.1295473614896,3069.9468575429755,3136.4032993436467,3192.8480031146855,3228.2811817177494,3254.2721946249867,3258.820652,3269.6257272798534,3274.8860063772654,3281.8847524364824,3273.392277418459,3261.582120061602,3264.546415546503,3287.9333651681764,3314.8360006944245,3346.1303518223085,3356.8504972544956,3374.6942345019215,3389.374539468291,3411.0735811880404,3424.561526473857,3406.9793915073287,3400.143582649923,3394.0387129229007,3423.8298837646103,3441.7431105915734,3459.1428308926825,3458.977395213093,3471.772096702809,3484.582747,3499.6737295361527
394347,9,"Atlanta, GA",msa,GA,1114.7941990500692,1120.9383090445415,1124.1258111727411,1134.4405096369203,1142.8439101350073,1155.5528839181309,1162.4336391959148,1165.2825281211963,1164.9775908427903,1164.580162558969,1164.1205828960199,1167.151318736079,1172.9861316573415,1182.8429122170955,1190.1249238011299,1197.9284412492798,1206.6436557010636,1217.0948828770922,1225.8191703151567,1230.1610539104422,1229.4537684878815,1228.3930175412636,1227.577856798372,1230.2672220615232,1235.2513260033884,1244.6033655011502,1257.1172457343002,1270.396251,1282.8266959459552,1293.3791426429568,1302.6632576028414,1305.7727704135673,1308.464568098712,1305.025444744701,1309.467045683783,1310.7803658401806,1318.8442857588554,1324.7800585902983,1338.1598531548614,1350.5158560076386,1363.6902036490533,1370.6310161111612,1375.6921900085197,1377.0724509646707,1379.0028342610865,1382.922653975093,1387.889326911343,1392.6477132911107,1398.6077128374232,1406.861540168011,1419.5154802588788,1432.5384766185089,1443.5986634610954,1454.4780579700673,1459.9840141349764,1463.6195184224646,1464.367121962019,1466.404815234858,1469.4033996556202,1472.1027228663422,1477.614424248292,1487.2036855669699,1500.0313838096179,1510.682431235578,1522.046730750154,1534.6307590403906,1550.627639845832,1567.3517959036665,1583.4309443333686,1598.0813732964593,1610.0070043580092,1621.067635702477,1636.1573712878403,1657.355845722632,1681.4258355734466,1708.5707881897774,1734.6253341522954,1764.1008822061663,1791.450001190497,1824.0278867452266,1849.554604940235,1873.4752279188663,1885.3590686591406,1894.6211303026628,1902.2355133002297,1914.0468844206273,1929.5022249522935,1944.023706880469,1961.6981301338005,1984.601546242062,2011.3259955985745,2031.0415350522874,2041.879241125973,2047.2970696658324,2047.4482385541116,2058.6120180989155,2060.2518966834687,2069.647304447135,2072.887670429267,2081.49322,2088.281161350076,2092.251242830635,2101.505340503436,2109.625285899379,2113.7737712510047,2105.297567727336,2097.371413452052,2099.729394,2122.562242,2145.1899563034317,2160.336762723041,2163.7042329560136,2167.2859407181345,2179.608145251995,2190.8574073698223,2201.3353428434207,2201.905852476052
